#Rev: sensefly/geoinfo/3
fileName	latitude	longitude	altitude_wgs84
DSC06759.JPG	35.3257754770	139.8694494817	159.3149719238	
DSC06760.JPG	35.3257541974	139.8699797725	160.6331787109	
DSC06761.JPG	35.3257792331	139.8705257407	160.9014892578	
DSC06762.JPG	35.3257657662	139.8710359692	160.8266906738	
DSC06763.JPG	35.3257453226	139.8715526843	157.7729949951	
DSC06764.JPG	35.3257709286	139.8720538745	157.5314025879	
DSC06765.JPG	35.3257320666	139.8725536659	158.4138183594	
DSC06766.JPG	35.3257738246	139.8730239438	158.3835296631	
DSC06767.JPG	35.3257893214	139.8735309107	159.8161468506	
DSC06768.JPG	35.3257571843	139.8739993009	158.5902862549	
DSC06769.JPG	35.3257815967	139.8745336551	159.5591735840	
DSC06770.JPG	35.3257845172	139.8750600457	162.1737976074	
DSC06771.JPG	35.3257623231	139.8755379254	160.6126861572	
DSC06772.JPG	35.3257893852	139.8760625782	158.8585052490	
DSC06773.JPG	35.3257931981	139.8765454526	161.0512695312	
DSC06774.JPG	35.3257899724	139.8770273578	159.8830566406	
DSC06775.JPG	35.3257779092	139.8774989753	160.0276794434	
DSC06776.JPG	35.3257586848	139.8779902387	160.0936126709	
DSC06777.JPG	35.3257716362	139.8784886416	160.8848571777	
DSC06778.JPG	35.3257478805	139.8790120640	162.9258575439	
DSC06779.JPG	35.3257613824	139.8795323914	163.1313323975	
DSC06780.JPG	35.3257863536	139.8800526594	162.3357696533	
DSC06781.JPG	35.3257660205	139.8805462636	160.4997406006	
DSC06782.JPG	35.3257640209	139.8810369644	158.8049011230	
DSC06783.JPG	35.3257868075	139.8815636934	159.1291046143	
DSC06784.JPG	35.3257804715	139.8820706705	158.0934448242	
DSC06785.JPG	35.3257723006	139.8826130138	157.4438934326	
DSC06786.JPG	35.3257744526	139.8831471307	159.4201507568	
DSC06787.JPG	35.3257732440	139.8836536905	160.1606903076	
DSC06788.JPG	35.3257705462	139.8841328122	160.2678222656	
DSC06789.JPG	35.3257658182	139.8846185463	159.9311370850	
DSC06790.JPG	35.3257636310	139.8851086890	160.6519622803	
DSC06791.JPG	35.3257498168	139.8855651678	160.8671417236	
DSC06792.JPG	35.3257870982	139.8860815227	162.5009307861	
DSC06793.JPG	35.3257470757	139.8866798462	163.0296173096	
DSC06794.JPG	35.3263742015	139.8859507894	161.9571533203	
DSC06795.JPG	35.3263535845	139.8853637702	163.3908386230	
DSC06796.JPG	35.3263505259	139.8847807558	164.1237792969	
DSC06797.JPG	35.3263807809	139.8842822714	162.8047027588	
DSC06798.JPG	35.3263266113	139.8837900614	161.2121582031	
DSC06799.JPG	35.3263756784	139.8832547731	160.6082000732	
DSC06800.JPG	35.3263473587	139.8827275554	158.0285491943	
DSC06801.JPG	35.3263818988	139.8821623447	157.3157958984	
DSC06802.JPG	35.3263187753	139.8816579095	157.6414794922	
DSC06803.JPG	35.3263702231	139.8810770533	155.9265136719	
DSC06804.JPG	35.3263711726	139.8805248159	156.6675567627	
DSC06805.JPG	35.3263365737	139.8799832964	159.6756439209	
DSC06806.JPG	35.3263552169	139.8794509120	159.0028533936	
DSC06807.JPG	35.3263552618	139.8789072523	160.1440124512	
DSC06808.JPG	35.3263679914	139.8783908454	160.4111022949	
DSC06809.JPG	35.3263623035	139.8778669622	159.1909332275	
DSC06810.JPG	35.3263599487	139.8773794981	159.2145538330	
DSC06811.JPG	35.3263481988	139.8768857641	158.9814758301	
DSC06812.JPG	35.3263661961	139.8763994473	160.1149597168	
DSC06813.JPG	35.3263524223	139.8759063218	159.5059356689	
DSC06814.JPG	35.3263528346	139.8754251065	161.3510589600	
DSC06815.JPG	35.3263530517	139.8749299096	163.2771606445	
DSC06816.JPG	35.3263879593	139.8744852573	162.3881225586	
DSC06817.JPG	35.3263535859	139.8740104077	157.6563110352	
DSC06818.JPG	35.3263585112	139.8735080821	156.4581451416	
DSC06819.JPG	35.3263485739	139.8730561080	156.7996673584	
DSC06820.JPG	35.3263515876	139.8725792445	159.2192077637	
DSC06821.JPG	35.3263530233	139.8720962191	159.9727325439	
DSC06822.JPG	35.3263654175	139.8716427079	158.3829193115	
DSC06823.JPG	35.3263521426	139.8711403476	158.1047210693	
DSC06824.JPG	35.3263566506	139.8706564193	159.1887359619	
DSC06825.JPG	35.3263883716	139.8701452281	157.4098968506	
DSC06826.JPG	35.3263720504	139.8696523311	158.4521179199	
DSC06827.JPG	35.3263330439	139.8691769488	157.1800079346	
DSC06828.JPG	35.3269625855	139.8693744354	157.7274475098	
DSC06829.JPG	35.3269484491	139.8698184859	158.6109313965	
DSC06830.JPG	35.3269637963	139.8702863865	159.4408569336	
DSC06831.JPG	35.3269660346	139.8707770377	160.3781738281	
DSC06832.JPG	35.3269778195	139.8712482296	161.6298828125	
DSC06833.JPG	35.3269598019	139.8717305175	159.5953369141	
DSC06834.JPG	35.3269613173	139.8722397592	160.6519165039	
DSC06835.JPG	35.3269646808	139.8727616446	161.8215789795	
DSC06836.JPG	35.3269754189	139.8732229263	161.3175964355	
DSC06837.JPG	35.3269663089	139.8736959952	159.1506042480	
DSC06838.JPG	35.3269791803	139.8741579451	157.9404602051	
DSC06839.JPG	35.3269750014	139.8746198017	156.6821594238	
DSC06840.JPG	35.3269461370	139.8751087378	155.8387298584	
DSC06841.JPG	35.3269754172	139.8755804902	159.3835449219	
DSC06842.JPG	35.3269529741	139.8760712971	161.9631347656	
DSC06843.JPG	35.3269591568	139.8765057241	161.7636413574	
DSC06844.JPG	35.3269841010	139.8769571374	162.6297149658	
